chrom	length	bases	mean	min	max
chr1_KI270713v1_random_region	40745	1326793	32.56	0	72
chr1_KI270714v1_random	41717	731122	17.53	0	44
chr1_KI270714v1_random_region	41717	731122	17.53	0	44
chr2_KI270715v1_random	161471	2721779	16.86	0	118
chr2_KI270715v1_random_region	161471	2721779	16.86	0	118
chr2_KI270716v1_random	153799	2148756	13.97	0	245
chr2_KI270716v1_random_region	153799	2148756	13.97	0	245
chr3_GL000221v1_random	155397	4985543	32.08	0	87
chr3_GL000221v1_random_region	155397	4985543	32.08	0	87
chr4_GL000008v2_random	209709	7397838	35.28	0	1074
chr4_GL000008v2_random_region	209709	7397838	35.28	0	1074
chr5_GL000208v1_random	92689	2768613	29.87	0	231
chr5_GL000208v1_random_region	92689	2768613	29.87	0	231
chr9_KI270717v1_random	40062	486158	12.14	0	38
chr9_KI270717v1_random_region	40062	486158	12.14	0	38
chr9_KI270718v1_random	38054	880067	23.13	0	172
chr9_KI270718v1_random_region	38054	880067	23.13	0	172
chr9_KI270719v1_random	176845	5068403	28.66	0	211
chr9_KI270719v1_random_region	176845	5068403	28.66	0	211
chr9_KI270720v1_random	39050	964067	24.69	2	102
chr9_KI270720v1_random_region	39050	964067	24.69	2	102
chr11_KI270721v1_random	100316	1031380	10.28	0	30
chr11_KI270721v1_random_region	100316	1031380	10.28	0	30
chr14_GL000009v2_random	201709	9658940	47.89	0	130
chr14_GL000009v2_random_region	201709	9658940	47.89	0	130
chr14_GL000225v1_random	211173	32604780	154.40	0	6676
chr14_GL000225v1_random_region	211173	32604780	154.40	0	6676
chr14_KI270722v1_random	194050	3117322	16.06	0	61
chr14_KI270722v1_random_region	194050	3117322	16.06	0	61
chr14_GL000194v1_random	191469	9214097	48.12	0	120
chr14_GL000194v1_random_region	191469	9214097	48.12	0	120
chr14_KI270723v1_random	38115	1962612	51.49	1	1098
chr14_KI270723v1_random_region	38115	1962612	51.49	1	1098
chr14_KI270724v1_random	39555	1637612	41.40	0	859
chr14_KI270724v1_random_region	39555	1637612	41.40	0	859
chr14_KI270725v1_random	172810	3759680	21.76	0	111
chr14_KI270725v1_random_region	172810	3759680	21.76	0	111
chr14_KI270726v1_random	43739	648	0.01	0	3
chr14_KI270726v1_random_region	43739	648	0.01	0	3
chr15_KI270727v1_random	448248	2305090	5.14	0	48
chr15_KI270727v1_random_region	448248	2305090	5.14	0	48
chr16_KI270728v1_random	1872759	15392515	8.22	0	285
chr16_KI270728v1_random_region	1872759	15392515	8.22	0	285
chr17_GL000205v2_random	185591	7521015	40.52	0	380
chr17_GL000205v2_random_region	185591	7521015	40.52	0	380
chr17_KI270729v1_random	280839	23794568	84.73	0	59218
chr17_KI270729v1_random_region	280839	23794568	84.73	0	59218
chr17_KI270730v1_random	112551	3586728	31.87	0	876
chr17_KI270730v1_random_region	112551	3586728	31.87	0	876
chr22_KI270731v1_random	150754	2855209	18.94	0	1579
chr22_KI270731v1_random_region	150754	2855209	18.94	0	1579
chr22_KI270732v1_random	41543	2244321	54.02	0	117
chr22_KI270732v1_random_region	41543	2244321	54.02	0	117
chr22_KI270733v1_random	179772	50973102	283.54	0	3084
chr22_KI270733v1_random_region	179772	50973102	283.54	0	3084
chr22_KI270734v1_random	165050	5965467	36.14	0	8903
chr22_KI270734v1_random_region	165050	5965467	36.14	0	8903
chr22_KI270735v1_random	42811	4105358	95.89	5	5557
chr22_KI270735v1_random_region	42811	4105358	95.89	5	5557
chr22_KI270736v1_random	181920	7685525	42.25	0	1711
chr22_KI270736v1_random_region	181920	7685525	42.25	0	1711
chr22_KI270737v1_random	103838	2364268	22.77	0	4522
chr22_KI270737v1_random_region	103838	2364268	22.77	0	4522
chr22_KI270738v1_random	99375	2082652	20.96	0	78
chr22_KI270738v1_random_region	99375	2082652	20.96	0	78
chr22_KI270739v1_random	73985	598598	8.09	0	44
chr22_KI270739v1_random_region	73985	598598	8.09	0	44
chrY_KI270740v1_random	37240	296040	7.95	0	25
chrY_KI270740v1_random_region	0	0	0.00	0	0
chrUn_KI270302v1	2274	30319	13.33	0	36
chrUn_KI270302v1_region	2274	30319	13.33	0	36
chrUn_KI270304v1	2165	18200	8.41	0	30
chrUn_KI270304v1_region	2165	18200	8.41	0	30
chrUn_KI270303v1	1942	104753	53.94	0	312
chrUn_KI270303v1_region	1942	104753	53.94	0	312
chrUn_KI270305v1	1472	28043	19.05	0	67
chrUn_KI270305v1_region	1472	28043	19.05	0	67
chrUn_KI270322v1	21476	161538	7.52	0	129
chrUn_KI270322v1_region	21476	161538	7.52	0	129
chrUn_KI270320v1	4416	347536	78.70	0	179
chrUn_KI270320v1_region	4416	347536	78.70	0	179
chrUn_KI270310v1	1201	156529	130.33	0	491
chrUn_KI270310v1_region	1201	156529	130.33	0	491
chrUn_KI270316v1	1444	15398	10.66	0	33
chrUn_KI270316v1_region	1444	15398	10.66	0	33
chrUn_KI270315v1	2276	38342	16.85	0	93
chrUn_KI270315v1_region	2276	38342	16.85	0	93
chrUn_KI270312v1	998	17046	17.08	0	50
chrUn_KI270312v1_region	998	17046	17.08	0	50
chrUn_KI270311v1	12399	161874	13.06	0	283
chrUn_KI270311v1_region	12399	161874	13.06	0	283
chrUn_KI270317v1	37690	43908	1.16	0	128
chrUn_KI270317v1_region	37690	43908	1.16	0	128
chrUn_KI270412v1	1179	19881	16.86	0	45
chrUn_KI270412v1_region	1179	19881	16.86	0	45
chrUn_KI270411v1	2646	97733	36.94	0	148
chrUn_KI270411v1_region	2646	97733	36.94	0	148
chrUn_KI270414v1	2489	18963	7.62	0	33
chrUn_KI270414v1_region	2489	18963	7.62	0	33
chrUn_KI270419v1	1029	5788	5.62	0	16
chrUn_KI270419v1_region	1029	5788	5.62	0	16
chrUn_KI270418v1	2145	22080	10.29	0	21
chrUn_KI270418v1_region	2145	22080	10.29	0	21
chrUn_KI270420v1	2321	53122	22.89	0	43
chrUn_KI270420v1_region	2321	53122	22.89	0	43
chrUn_KI270424v1	2140	11751	5.49	0	20
chrUn_KI270424v1_region	2140	11751	5.49	0	20
chrUn_KI270417v1	2043	41389	20.26	5	53
chrUn_KI270417v1_region	2043	41389	20.26	5	53
chrUn_KI270422v1	1445	78226	54.14	2	82
chrUn_KI270422v1_region	1445	78226	54.14	2	82
chrUn_KI270423v1	981	22989	23.43	0	59
chrUn_KI270423v1_region	981	22989	23.43	0	59
chrUn_KI270425v1	1884	4587	2.43	0	15
chrUn_KI270425v1_region	1884	4587	2.43	0	15
chrUn_KI270429v1	1361	77801	57.16	0	97
chrUn_KI270429v1_region	1361	77801	57.16	0	97
chrUn_KI270442v1	392061	19428700	49.56	0	6164
chrUn_KI270442v1_region	392061	19428700	49.56	0	6164
chrUn_KI270466v1	1233	4274207	3466.51	78	8375
chrUn_KI270466v1_region	1233	4274207	3466.51	78	8375
chrUn_KI270465v1	1774	141039	79.50	0	251
chrUn_KI270465v1_region	1774	141039	79.50	0	251
chrUn_KI270467v1	3920	9694201	2473.01	2	9789
chrUn_KI270467v1_region	3920	9694201	2473.01	2	9789
chrUn_KI270435v1	92983	3146162	33.84	0	1797
chrUn_KI270435v1_region	92983	3146162	33.84	0	1797
chrUn_KI270438v1	112505	47485250	422.07	0	15595
chrUn_KI270438v1_region	112505	47485250	422.07	0	15595
chrUn_KI270468v1	4055	116833	28.81	2	48
chrUn_KI270468v1_region	4055	116833	28.81	2	48
chrUn_KI270510v1	2415	171103	70.85	5	144
chrUn_KI270510v1_region	2415	171103	70.85	5	144
chrUn_KI270509v1	2318	143314	61.83	3	102
chrUn_KI270509v1_region	2318	143314	61.83	3	102
chrUn_KI270518v1	2186	159435	72.93	0	139
chrUn_KI270518v1_region	2186	159435	72.93	0	139
chrUn_KI270508v1	1951	194354	99.62	0	133
chrUn_KI270508v1_region	1951	194354	99.62	0	133
chrUn_KI270516v1	1300	81539	62.72	7	145
chrUn_KI270516v1_region	1300	81539	62.72	7	145
chrUn_KI270512v1	22689	754123	33.24	0	388
chrUn_KI270512v1_region	22689	754123	33.24	0	388
chrUn_KI270519v1	138126	5266884	38.13	0	773
chrUn_KI270519v1_region	138126	5266884	38.13	0	773
chrUn_KI270522v1	5674	94529	16.66	0	62
chrUn_KI270522v1_region	5674	94529	16.66	0	62
chrUn_KI270511v1	8127	245106	30.16	0	90
chrUn_KI270511v1_region	8127	245106	30.16	0	90
chrUn_KI270515v1	6361	335164	52.69	0	135
chrUn_KI270515v1_region	6361	335164	52.69	0	135
chrUn_KI270507v1	5353	262597	49.06	2	104
chrUn_KI270507v1_region	5353	262597	49.06	2	104
chrUn_KI270517v1	3253	259572	79.79	2	118
chrUn_KI270517v1_region	3253	259572	79.79	2	118
chrUn_KI270529v1	1899	27404	14.43	0	38
chrUn_KI270529v1_region	1899	27404	14.43	0	38
chrUn_KI270528v1	2983	28151	9.44	0	22
chrUn_KI270528v1_region	2983	28151	9.44	0	22
chrUn_KI270530v1	2168	15006	6.92	0	19
chrUn_KI270530v1_region	2168	15006	6.92	0	19
chrUn_KI270539v1	993	4377	4.41	0	10
chrUn_KI270539v1_region	993	4377	4.41	0	10
chrUn_KI270538v1	91309	3153940	34.54	0	357
chrUn_KI270538v1_region	91309	3153940	34.54	0	357
chrUn_KI270544v1	1202	71023	59.09	0	180
chrUn_KI270544v1_region	1202	71023	59.09	0	180
chrUn_KI270548v1	1599	8518	5.33	0	14
chrUn_KI270548v1_region	1599	8518	5.33	0	14
chrUn_KI270583v1	1400	79329	56.66	0	84
chrUn_KI270583v1_region	1400	79329	56.66	0	84
chrUn_KI270587v1	2969	168184	56.65	0	116
chrUn_KI270587v1_region	2969	168184	56.65	0	116
chrUn_KI270580v1	1553	71374	45.96	0	71
chrUn_KI270580v1_region	1553	71374	45.96	0	71
chrUn_KI270581v1	7046	105227	14.93	0	57
chrUn_KI270581v1_region	7046	105227	14.93	0	57
chrUn_KI270579v1	31033	428108	13.80	0	61
chrUn_KI270579v1_region	31033	428108	13.80	0	61
chrUn_KI270589v1	44474	1402887	31.54	0	559
chrUn_KI270589v1_region	44474	1402887	31.54	0	559
chrUn_KI270590v1	4685	405801	86.62	0	288
chrUn_KI270590v1_region	4685	405801	86.62	0	288
chrUn_KI270584v1	4513	249000	55.17	13	105
chrUn_KI270584v1_region	4513	249000	55.17	13	105
chrUn_KI270582v1	6504	94603	14.55	0	37
chrUn_KI270582v1_region	6504	94603	14.55	0	37
chrUn_KI270588v1	6158	367727	59.72	0	139
chrUn_KI270588v1_region	6158	367727	59.72	0	139
chrUn_KI270593v1	3041	109426	35.98	3	58
chrUn_KI270593v1_region	3041	109426	35.98	3	58
chrUn_KI270591v1	5796	530656	91.56	0	375
chrUn_KI270591v1_region	5796	530656	91.56	0	375
chrUn_KI270330v1	1652	280007	169.50	0	474
chrUn_KI270330v1_region	1652	280007	169.50	0	474
chrUn_KI270329v1	1040	13430	12.91	0	31
chrUn_KI270329v1_region	1040	13430	12.91	0	31
chrUn_KI270334v1	1368	11746	8.59	0	17
chrUn_KI270334v1_region	1368	11746	8.59	0	17
chrUn_KI270333v1	2699	2644181	979.69	8	4163
chrUn_KI270333v1_region	2699	2644181	979.69	8	4163
chrUn_KI270335v1	1048	6641	6.34	0	16
chrUn_KI270335v1_region	1048	6641	6.34	0	16
chrUn_KI270338v1	1428	8154	5.71	0	11
chrUn_KI270338v1_region	1428	8154	5.71	0	11
chrUn_KI270340v1	1428	12514	8.76	0	19
chrUn_KI270340v1_region	1428	12514	8.76	0	19
chrUn_KI270336v1	1026	475024	462.99	14	1253
chrUn_KI270336v1_region	1026	475024	462.99	14	1253
chrUn_KI270337v1	1121	2813909	2510.18	4	9943
chrUn_KI270337v1_region	1121	2813909	2510.18	4	9943
chrUn_KI270363v1	1803	18328	10.17	0	24
chrUn_KI270363v1_region	1803	18328	10.17	0	24
chrUn_KI270364v1	2855	41755	14.63	0	39
chrUn_KI270364v1_region	2855	41755	14.63	0	39
chrUn_KI270362v1	3530	33834	9.58	0	18
chrUn_KI270362v1_region	3530	33834	9.58	0	18
chrUn_KI270366v1	8320	117202	14.09	0	44
chrUn_KI270366v1_region	8320	117202	14.09	0	44
chrUn_KI270378v1	1048	121	0.12	0	2
chrUn_KI270378v1_region	1048	121	0.12	0	2
chrUn_KI270379v1	1045	6794	6.50	0	14
chrUn_KI270379v1_region	1045	6794	6.50	0	14
chrUn_KI270389v1	1298	3020	2.33	0	8
chrUn_KI270389v1_region	1298	3020	2.33	0	8
chrUn_KI270390v1	2387	3380	1.42	0	6
chrUn_KI270390v1_region	2387	3380	1.42	0	6
chrUn_KI270387v1	1537	8304	5.40	0	14
chrUn_KI270387v1_region	1537	8304	5.40	0	14
chrUn_KI270395v1	1143	25911	22.67	0	53
chrUn_KI270395v1_region	1143	25911	22.67	0	53
chrUn_KI270396v1	1880	4210	2.24	0	8
chrUn_KI270396v1_region	1880	4210	2.24	0	8
chrUn_KI270388v1	1216	151	0.12	0	1
chrUn_KI270388v1_region	1216	151	0.12	0	1
chrUn_KI270394v1	970	1758	1.81	0	8
chrUn_KI270394v1_region	970	1758	1.81	0	8
chrUn_KI270386v1	1788	21878	12.24	0	24
chrUn_KI270386v1_region	1788	21878	12.24	0	24
chrUn_KI270391v1	1484	1394	0.94	0	5
chrUn_KI270391v1_region	1484	1394	0.94	0	5
chrUn_KI270383v1	1750	5365	3.07	0	8
chrUn_KI270383v1_region	1750	5365	3.07	0	8
chrUn_KI270393v1	1308	512	0.39	0	3
chrUn_KI270393v1_region	1308	512	0.39	0	3
chrUn_KI270384v1	1658	4530	2.73	0	17
chrUn_KI270384v1_region	1658	4530	2.73	0	17
chrUn_KI270392v1	971	13495	13.90	0	29
chrUn_KI270392v1_region	971	13495	13.90	0	29
chrUn_KI270381v1	1930	13953	7.23	0	18
chrUn_KI270381v1_region	1930	13953	7.23	0	18
chrUn_KI270385v1	990	906	0.92	0	6
chrUn_KI270385v1_region	990	906	0.92	0	6
chrUn_KI270382v1	4215	20192	4.79	0	22
chrUn_KI270382v1_region	4215	20192	4.79	0	22
chrUn_KI270376v1	1136	7468	6.57	0	16
chrUn_KI270376v1_region	1136	7468	6.57	0	16
chrUn_KI270374v1	2656	23152	8.72	0	40
chrUn_KI270374v1_region	2656	23152	8.72	0	40
chrUn_KI270372v1	1650	9182	5.56	0	11
chrUn_KI270372v1_region	1650	9182	5.56	0	11
chrUn_KI270373v1	1451	4793	3.30	0	13
chrUn_KI270373v1_region	1451	4793	3.30	0	13
chrUn_KI270375v1	2378	19580	8.23	0	19
chrUn_KI270375v1_region	2378	19580	8.23	0	19
chrUn_KI270371v1	2805	13250	4.72	0	12
chrUn_KI270371v1_region	2805	13250	4.72	0	12
chrUn_KI270448v1	7992	229850	28.76	1	52
chrUn_KI270448v1_region	7992	229850	28.76	1	52
chrUn_KI270521v1	7642	128929	16.87	0	53
chrUn_KI270521v1_region	7642	128929	16.87	0	53
chrUn_GL000195v1	182896	5860080	32.04	0	111
chrUn_GL000195v1_region	182896	5860080	32.04	0	111
chrUn_GL000219v1	179198	4298783	23.99	0	259
chrUn_GL000219v1_region	179198	4298783	23.99	0	259
chrUn_GL000220v1	161802	47011168	290.55	0	2666
chrUn_GL000220v1_region	161802	47011168	290.55	0	2666
chrUn_GL000224v1	179693	14426298	80.28	0	1440
chrUn_GL000224v1_region	179693	14426298	80.28	0	1440
chrUn_KI270741v1	157432	1615810	10.26	0	62
chrUn_KI270741v1_region	157432	1615810	10.26	0	62
chrUn_GL000226v1	15008	6963697	464.00	2	1752
chrUn_GL000226v1_region	15008	6963697	464.00	2	1752
chrUn_GL000213v1	164239	989272	6.02	0	21
chrUn_GL000213v1_region	164239	989272	6.02	0	21
chrUn_KI270743v1	210658	6048630	28.71	0	149
chrUn_KI270743v1_region	210658	6048630	28.71	0	149
chrUn_KI270744v1	168472	11682778	69.35	0	3289
chrUn_KI270744v1_region	168472	11682778	69.35	0	3289
chrUn_KI270745v1	41891	449081	10.72	0	36
chrUn_KI270745v1_region	41891	449081	10.72	0	36
chrUn_KI270746v1	66486	3493392	52.54	0	108
chrUn_KI270746v1_region	66486	3493392	52.54	0	108
chrUn_KI270747v1	198735	1840791	9.26	0	69
chrUn_KI270747v1_region	198735	1840791	9.26	0	69
chrUn_KI270748v1	93321	667627	7.15	0	46
chrUn_KI270748v1_region	93321	667627	7.15	0	46
chrUn_KI270749v1	158759	3925984	24.73	0	60
chrUn_KI270749v1_region	158759	3925984	24.73	0	60
chrUn_KI270750v1	148850	4549580	30.56	0	70
chrUn_KI270750v1_region	148850	4549580	30.56	0	70
chrUn_KI270751v1	150742	6924742	45.94	0	446
chrUn_KI270751v1_region	150742	6924742	45.94	0	446
chrUn_KI270752v1	27745	180	0.01	0	2
chrUn_KI270752v1_region	27745	180	0.01	0	2
chrUn_KI270753v1	62944	1707591	27.13	0	64
chrUn_KI270753v1_region	62944	1707591	27.13	0	64
chrUn_KI270754v1	40191	2909052	72.38	0	336
chrUn_KI270754v1_region	40191	2909052	72.38	0	336
chrUn_KI270755v1	36723	388314	10.57	0	27
chrUn_KI270755v1_region	36723	388314	10.57	0	27
chrUn_KI270756v1	79590	1313873	16.51	0	375
chrUn_KI270756v1_region	79590	1313873	16.51	0	375
chrUn_KI270757v1	71251	4120470	57.83	0	1540
chrUn_KI270757v1_region	71251	4120470	57.83	0	1540
chrUn_GL000214v1	137718	9782864	71.04	0	905
chrUn_GL000214v1_region	137718	9782864	71.04	0	905
chrUn_KI270742v1	186739	8512844	45.59	0	133
chrUn_KI270742v1_region	186739	8512844	45.59	0	133
chrUn_GL000216v2	176608	19016989	107.68	1	8757
chrUn_GL000216v2_region	176608	19016989	107.68	1	8757
chrUn_GL000218v1	161147	5378470	33.38	0	108
chrUn_GL000218v1_region	161147	5378470	33.38	0	108
chrEBV	171823	8122226	47.27	0	421
chrEBV_region	171823	8122226	47.27	0	421
total	3099922541	16965998300	5.47	0	325636
total_region	2889701414	16055573242	5.56	0	325636
