chrom	length	bases	mean	min	max
chr14_GL000225v1_random	211173	1159780	5.49	0	279
chr14_GL000225v1_random_region	211173	1159780	5.49	0	279
chr14_KI270722v1_random	194050	56266	0.29	0	5
chr14_KI270722v1_random_region	194050	56266	0.29	0	5
chr14_GL000194v1_random	191469	242948	1.27	0	11
chr14_GL000194v1_random_region	191469	242948	1.27	0	11
chr14_KI270723v1_random	38115	46666	1.22	0	31
chr14_KI270723v1_random_region	38115	46666	1.22	0	31
chr14_KI270724v1_random	39555	34656	0.88	0	29
chr14_KI270724v1_random_region	39555	34656	0.88	0	29
chr14_KI270725v1_random	172810	105032	0.61	0	7
chr14_KI270725v1_random_region	172810	105032	0.61	0	7
chr14_KI270726v1_random	43739	151	0.00	0	1
chr14_KI270726v1_random_region	43739	151	0.00	0	1
chr15_KI270727v1_random	448248	30373	0.07	0	4
chr15_KI270727v1_random_region	448248	30373	0.07	0	4
chr16_KI270728v1_random	1872759	304852	0.16	0	16
chr16_KI270728v1_random_region	1872759	304852	0.16	0	16
chr17_GL000205v2_random	185591	85270	0.46	0	8
chr17_GL000205v2_random_region	185591	85270	0.46	0	8
chr17_KI270729v1_random	280839	923432	3.29	0	2653
chr17_KI270729v1_random_region	280839	923432	3.29	0	2653
chr17_KI270730v1_random	112551	115272	1.02	0	29
chr17_KI270730v1_random_region	112551	115272	1.02	0	29
chr22_KI270731v1_random	150754	75084	0.50	0	62
chr22_KI270731v1_random_region	150754	75084	0.50	0	62
chr22_KI270732v1_random	41543	77926	1.88	0	7
chr22_KI270732v1_random_region	41543	77926	1.88	0	7
chr22_KI270733v1_random	179772	1697777	9.44	0	113
chr22_KI270733v1_random_region	179772	1697777	9.44	0	113
chr22_KI270734v1_random	165050	179779	1.09	0	367
chr22_KI270734v1_random_region	165050	179779	1.09	0	367
chr22_KI270735v1_random	42811	153882	3.59	0	224
chr22_KI270735v1_random_region	42811	153882	3.59	0	224
chr22_KI270736v1_random	181920	246244	1.35	0	62
chr22_KI270736v1_random_region	181920	246244	1.35	0	62
chr22_KI270737v1_random	103838	85748	0.83	0	159
chr22_KI270737v1_random_region	103838	85748	0.83	0	159
chr22_KI270738v1_random	99375	70138	0.71	0	9
chr22_KI270738v1_random_region	99375	70138	0.71	0	9
chr22_KI270739v1_random	73985	11486	0.16	0	3
chr22_KI270739v1_random_region	73985	11486	0.16	0	3
chrY_KI270740v1_random	37240	5138	0.14	0	2
chrY_KI270740v1_random_region	0	0	0.00	0	0
chrUn_KI270302v1	2274	1510	0.66	0	4
chrUn_KI270302v1_region	2274	1510	0.66	0	4
chrUn_KI270304v1	2165	301	0.14	0	1
chrUn_KI270304v1_region	2165	301	0.14	0	1
chrUn_KI270303v1	1942	2550	1.31	0	9
chrUn_KI270303v1_region	1942	2550	1.31	0	9
chrUn_KI270305v1	1472	1057	0.72	0	4
chrUn_KI270305v1_region	1472	1057	0.72	0	4
chrUn_KI270322v1	21476	8995	0.42	0	11
chrUn_KI270322v1_region	21476	8995	0.42	0	11
chrUn_KI270320v1	4416	17056	3.86	0	14
chrUn_KI270320v1_region	4416	17056	3.86	0	14
chrUn_KI270310v1	1201	4373	3.64	0	14
chrUn_KI270310v1_region	1201	4373	3.64	0	14
chrUn_KI270316v1	1444	391	0.27	0	2
chrUn_KI270316v1_region	1444	391	0.27	0	2
chrUn_KI270315v1	2276	1586	0.70	0	5
chrUn_KI270315v1_region	2276	1586	0.70	0	5
chrUn_KI270312v1	998	755	0.76	0	3
chrUn_KI270312v1_region	998	755	0.76	0	3
chrUn_KI270311v1	12399	4061	0.33	0	9
chrUn_KI270311v1_region	12399	4061	0.33	0	9
chrUn_KI270317v1	37690	1800	0.05	0	5
chrUn_KI270317v1_region	37690	1800	0.05	0	5
chrUn_KI270412v1	1179	908	0.77	0	3
chrUn_KI270412v1_region	1179	908	0.77	0	3
chrUn_KI270411v1	2646	5130	1.94	0	11
chrUn_KI270411v1_region	2646	5130	1.94	0	11
chrUn_KI270414v1	2489	1052	0.42	0	4
chrUn_KI270414v1_region	2489	1052	0.42	0	4
chrUn_KI270419v1	1029	605	0.59	0	2
chrUn_KI270419v1_region	1029	605	0.59	0	2
chrUn_KI270418v1	2145	973	0.45	0	2
chrUn_KI270418v1_region	2145	973	0.45	0	2
chrUn_KI270420v1	2321	3625	1.56	0	7
chrUn_KI270420v1_region	2321	3625	1.56	0	7
chrUn_KI270424v1	2140	604	0.28	0	2
chrUn_KI270424v1_region	2140	604	0.28	0	2
chrUn_KI270422v1	1445	3300	2.28	0	5
chrUn_KI270422v1_region	1445	3300	2.28	0	5
chrUn_KI270423v1	981	1656	1.69	0	5
chrUn_KI270423v1_region	981	1656	1.69	0	5
chrUn_KI270429v1	1361	3626	2.66	0	7
chrUn_KI270429v1_region	1361	3626	2.66	0	7
chrUn_KI270442v1	392061	599182	1.53	0	195
chrUn_KI270442v1_region	392061	599182	1.53	0	195
chrUn_KI270466v1	1233	163031	132.22	2	303
chrUn_KI270466v1_region	1233	163031	132.22	2	303
chrUn_KI270465v1	1774	7681	4.33	0	14
chrUn_KI270465v1_region	1774	7681	4.33	0	14
chrUn_KI270467v1	3920	467771	119.33	0	415
chrUn_KI270467v1_region	3920	467771	119.33	0	415
chrUn_KI270435v1	92983	107160	1.15	0	64
chrUn_KI270435v1_region	92983	107160	1.15	0	64
chrUn_KI270438v1	112505	2140080	19.02	0	738
chrUn_KI270438v1_region	112505	2140080	19.02	0	738
chrUn_KI270468v1	4055	5677	1.40	0	5
chrUn_KI270468v1_region	4055	5677	1.40	0	5
chrUn_KI270510v1	2415	4760	1.97	0	6
chrUn_KI270510v1_region	2415	4760	1.97	0	6
chrUn_KI270509v1	2318	6855	2.96	0	8
chrUn_KI270509v1_region	2318	6855	2.96	0	8
chrUn_KI270518v1	2186	4948	2.26	0	6
chrUn_KI270518v1_region	2186	4948	2.26	0	6
chrUn_KI270508v1	1951	6170	3.16	0	9
chrUn_KI270508v1_region	1951	6170	3.16	0	9
chrUn_KI270512v1	22689	28817	1.27	0	14
chrUn_KI270512v1_region	22689	28817	1.27	0	14
chrUn_KI270519v1	138126	178763	1.29	0	32
chrUn_KI270519v1_region	138126	178763	1.29	0	32
chrUn_KI270511v1	8127	5812	0.72	0	5
chrUn_KI270511v1_region	8127	5812	0.72	0	5
chrUn_KI270515v1	6361	14843	2.33	0	9
chrUn_KI270515v1_region	6361	14843	2.33	0	9
chrUn_KI270507v1	5353	10270	1.92	0	7
chrUn_KI270507v1_region	5353	10270	1.92	0	7
chrUn_KI270517v1	3253	9832	3.02	0	7
chrUn_KI270517v1_region	3253	9832	3.02	0	7
chrUn_KI270529v1	1899	1510	0.80	0	4
chrUn_KI270529v1_region	1899	1510	0.80	0	4
chrUn_KI270528v1	2983	302	0.10	0	1
chrUn_KI270528v1_region	2983	302	0.10	0	1
chrUn_KI270538v1	91309	91221	1.00	0	26
chrUn_KI270538v1_region	91309	91221	1.00	0	26
chrUn_KI270544v1	1202	3623	3.01	0	9
chrUn_KI270544v1_region	1202	3623	3.01	0	9
chrUn_KI270548v1	1599	302	0.19	0	1
chrUn_KI270548v1_region	1599	302	0.19	0	1
chrUn_KI270583v1	1400	1926	1.38	0	4
chrUn_KI270583v1_region	1400	1926	1.38	0	4
chrUn_KI270587v1	2969	7389	2.49	0	8
chrUn_KI270587v1_region	2969	7389	2.49	0	8
chrUn_KI270580v1	1553	4310	2.78	0	5
chrUn_KI270580v1_region	1553	4310	2.78	0	5
chrUn_KI270581v1	7046	4026	0.57	0	3
chrUn_KI270581v1_region	7046	4026	0.57	0	3
chrUn_KI270579v1	31033	15022	0.48	0	4
chrUn_KI270579v1_region	31033	15022	0.48	0	4
chrUn_KI270589v1	44474	46066	1.04	0	25
chrUn_KI270589v1_region	44474	46066	1.04	0	25
chrUn_KI270590v1	4685	7177	1.53	0	6
chrUn_KI270590v1_region	4685	7177	1.53	0	6
chrUn_KI270584v1	4513	6039	1.34	0	7
chrUn_KI270584v1_region	4513	6039	1.34	0	7
chrUn_KI270582v1	6504	6040	0.93	0	4
chrUn_KI270582v1_region	6504	6040	0.93	0	4
chrUn_KI270588v1	6158	13357	2.17	0	11
chrUn_KI270588v1_region	6158	13357	2.17	0	11
chrUn_KI270593v1	3041	4217	1.39	0	6
chrUn_KI270593v1_region	3041	4217	1.39	0	6
chrUn_KI270591v1	5796	18489	3.19	0	12
chrUn_KI270591v1_region	5796	18489	3.19	0	12
chrUn_KI270330v1	1652	9769	5.91	0	20
chrUn_KI270330v1_region	1652	9769	5.91	0	20
chrUn_KI270329v1	1040	302	0.29	0	1
chrUn_KI270329v1_region	1040	302	0.29	0	1
chrUn_KI270333v1	2699	100889	37.38	0	157
chrUn_KI270333v1_region	2699	100889	37.38	0	157
chrUn_KI270336v1	1026	17667	17.22	0	51
chrUn_KI270336v1_region	1026	17667	17.22	0	51
chrUn_KI270337v1	1121	105279	93.92	0	379
chrUn_KI270337v1_region	1121	105279	93.92	0	379
chrUn_KI270363v1	1803	1503	0.83	0	3
chrUn_KI270363v1_region	1803	1503	0.83	0	3
chrUn_KI270364v1	2855	1208	0.42	0	2
chrUn_KI270364v1_region	2855	1208	0.42	0	2
chrUn_KI270366v1	8320	2495	0.30	0	3
chrUn_KI270366v1_region	8320	2495	0.30	0	3
chrUn_KI270379v1	1045	302	0.29	0	2
chrUn_KI270379v1_region	1045	302	0.29	0	2
chrUn_KI270389v1	1298	151	0.12	0	1
chrUn_KI270389v1_region	1298	151	0.12	0	1
chrUn_KI270387v1	1537	302	0.20	0	1
chrUn_KI270387v1_region	1537	302	0.20	0	1
chrUn_KI270395v1	1143	2567	2.25	0	10
chrUn_KI270395v1_region	1143	2567	2.25	0	10
chrUn_KI270396v1	1880	302	0.16	0	1
chrUn_KI270396v1_region	1880	302	0.16	0	1
chrUn_KI270394v1	970	599	0.62	0	3
chrUn_KI270394v1_region	970	599	0.62	0	3
chrUn_KI270386v1	1788	1208	0.68	0	3
chrUn_KI270386v1_region	1788	1208	0.68	0	3
chrUn_KI270391v1	1484	301	0.20	0	1
chrUn_KI270391v1_region	1484	301	0.20	0	1
chrUn_KI270383v1	1750	907	0.52	0	2
chrUn_KI270383v1_region	1750	907	0.52	0	2
chrUn_KI270384v1	1658	151	0.09	0	1
chrUn_KI270384v1_region	1658	151	0.09	0	1
chrUn_KI270392v1	971	302	0.31	0	2
chrUn_KI270392v1_region	971	302	0.31	0	2
chrUn_KI270382v1	4215	897	0.21	0	2
chrUn_KI270382v1_region	4215	897	0.21	0	2
chrUn_KI270376v1	1136	302	0.27	0	1
chrUn_KI270376v1_region	1136	302	0.27	0	1
chrUn_KI270373v1	1451	302	0.21	0	1
chrUn_KI270373v1_region	1451	302	0.21	0	1
chrUn_KI270448v1	7992	9566	1.20	0	5
chrUn_KI270448v1_region	7992	9566	1.20	0	5
chrUn_KI270521v1	7642	3911	0.51	0	4
chrUn_KI270521v1_region	7642	3911	0.51	0	4
chrUn_GL000195v1	182896	102218	0.56	0	7
chrUn_GL000195v1_region	182896	102218	0.56	0	7
chrUn_GL000219v1	179198	123439	0.69	0	12
chrUn_GL000219v1_region	179198	123439	0.69	0	12
chrUn_GL000220v1	161802	1652119	10.21	0	103
chrUn_GL000220v1_region	161802	1652119	10.21	0	103
chrUn_GL000224v1	179693	442423	2.46	0	65
chrUn_GL000224v1_region	179693	442423	2.46	0	65
chrUn_KI270741v1	157432	18454	0.12	0	4
chrUn_KI270741v1_region	157432	18454	0.12	0	4
chrUn_GL000226v1	15008	333265	22.21	0	77
chrUn_GL000226v1_region	15008	333265	22.21	0	77
chrUn_GL000213v1	164239	23552	0.14	0	3
chrUn_GL000213v1_region	164239	23552	0.14	0	3
chrUn_KI270743v1	210658	213090	1.01	0	12
chrUn_KI270743v1_region	210658	213090	1.01	0	12
chrUn_KI270744v1	168472	432996	2.57	0	136
chrUn_KI270744v1_region	168472	432996	2.57	0	136
chrUn_KI270745v1	41891	17172	0.41	0	5
chrUn_KI270745v1_region	41891	17172	0.41	0	5
chrUn_KI270746v1	66486	101695	1.53	0	8
chrUn_KI270746v1_region	66486	101695	1.53	0	8
chrUn_KI270747v1	198735	60639	0.31	0	6
chrUn_KI270747v1_region	198735	60639	0.31	0	6
chrUn_KI270748v1	93321	18073	0.19	0	4
chrUn_KI270748v1_region	93321	18073	0.19	0	4
chrUn_KI270749v1	158759	101147	0.64	0	6
chrUn_KI270749v1_region	158759	101147	0.64	0	6
chrUn_KI270750v1	148850	36075	0.24	0	6
chrUn_KI270750v1_region	148850	36075	0.24	0	6
chrUn_KI270751v1	150742	238865	1.58	0	19
chrUn_KI270751v1_region	150742	238865	1.58	0	19
chrUn_KI270753v1	62944	30168	0.48	0	6
chrUn_KI270753v1_region	62944	30168	0.48	0	6
chrUn_KI270754v1	40191	90745	2.26	0	19
chrUn_KI270754v1_region	40191	90745	2.26	0	19
chrUn_KI270755v1	36723	4530	0.12	0	2
chrUn_KI270755v1_region	36723	4530	0.12	0	2
chrUn_KI270756v1	79590	45836	0.58	0	18
chrUn_KI270756v1_region	79590	45836	0.58	0	18
chrUn_KI270757v1	71251	127844	1.79	0	58
chrUn_KI270757v1_region	71251	127844	1.79	0	58
chrUn_GL000214v1	137718	314891	2.29	0	37
chrUn_GL000214v1_region	137718	314891	2.29	0	37
chrUn_KI270742v1	186739	276466	1.48	0	9
chrUn_KI270742v1_region	186739	276466	1.48	0	9
chrUn_GL000216v2	176608	687358	3.89	0	369
chrUn_GL000216v2_region	176608	687358	3.89	0	369
chrUn_GL000218v1	161147	145054	0.90	0	7
chrUn_GL000218v1_region	161147	145054	0.90	0	7
chrEBV	171823	244412	1.42	0	29
chrEBV_region	171823	244412	1.42	0	29
total	3099853564	336955151	0.11	0	8483
total_region	2889632437	316541705	0.11	0	8483
