chrom	length	bases	mean	min	max
chrUn_KI270303v1	1942	299077	154.00	0	892
chrUn_KI270303v1_region	1942	299077	154.00	0	892
chrUn_KI270305v1	1472	108375	73.62	0	212
chrUn_KI270305v1_region	1472	108375	73.62	0	212
chrUn_KI270322v1	21476	442152	20.59	0	456
chrUn_KI270322v1_region	21476	442152	20.59	0	456
chrUn_KI270320v1	4416	994876	225.29	0	594
chrUn_KI270320v1_region	4416	994876	225.29	0	594
chrUn_KI270310v1	1201	426562	355.17	0	1354
chrUn_KI270310v1_region	1201	426562	355.17	0	1354
chrUn_KI270316v1	1444	34419	23.84	0	105
chrUn_KI270316v1_region	1444	34419	23.84	0	105
chrUn_KI270315v1	2276	119505	52.51	0	254
chrUn_KI270315v1_region	2276	119505	52.51	0	254
chrUn_KI270312v1	998	53754	53.86	0	165
chrUn_KI270312v1_region	998	53754	53.86	0	165
chrUn_KI270311v1	12399	421533	34.00	0	780
chrUn_KI270311v1_region	12399	421533	34.00	0	780
chrUn_KI270317v1	37690	142493	3.78	0	470
chrUn_KI270317v1_region	37690	142493	3.78	0	470
chrUn_KI270412v1	1179	64426	54.64	1	160
chrUn_KI270412v1_region	1179	64426	54.64	1	160
chrUn_KI270411v1	2646	320840	121.25	0	457
chrUn_KI270411v1_region	2646	320840	121.25	0	457
chrUn_KI270414v1	2489	68975	27.71	0	140
chrUn_KI270414v1_region	2489	68975	27.71	0	140
chrUn_KI270419v1	1029	47101	45.77	0	98
chrUn_KI270419v1_region	1029	47101	45.77	0	98
chrUn_KI270418v1	2145	111683	52.07	0	96
chrUn_KI270418v1_region	2145	111683	52.07	0	96
chrUn_KI270420v1	2321	252262	108.69	1	197
chrUn_KI270420v1_region	2321	252262	108.69	1	197
chrUn_KI270424v1	2140	36515	17.06	0	49
chrUn_KI270424v1_region	2140	36515	17.06	0	49
chrUn_KI270422v1	1445	286960	198.59	9	316
chrUn_KI270422v1_region	1445	286960	198.59	9	316
chrUn_KI270423v1	981	103615	105.62	0	250
chrUn_KI270423v1_region	981	103615	105.62	0	250
chrUn_KI270425v1	1884	17288	9.18	0	43
chrUn_KI270425v1_region	1884	17288	9.18	0	43
chrUn_KI270429v1	1361	249732	183.49	0	282
chrUn_KI270429v1_region	1361	249732	183.49	0	282
chrUn_KI270442v1	392061	52762143	134.58	0	17131
chrUn_KI270442v1_region	392061	52762143	134.58	0	17131
chrUn_KI270466v1	1233	11640515	9440.81	227	21223
chrUn_KI270466v1_region	1233	11640515	9440.81	227	21223
chrUn_KI270465v1	1774	435647	245.57	1	754
chrUn_KI270465v1_region	1774	435647	245.57	1	754
chrUn_KI270467v1	3920	28861321	7362.58	5	26104
chrUn_KI270467v1_region	3920	28861321	7362.58	5	26104
chrUn_KI270435v1	92983	9007373	96.87	0	5231
chrUn_KI270435v1_region	92983	9007373	96.87	0	5231
chrUn_KI270438v1	112505	125473753	1115.27	0	42111
chrUn_KI270438v1_region	112505	125473753	1115.27	0	42111
chrUn_KI270468v1	4055	343035	84.60	4	118
chrUn_KI270468v1_region	4055	343035	84.60	4	118
chrUn_KI270510v1	2415	505126	209.16	17	404
chrUn_KI270510v1_region	2415	505126	209.16	17	404
chrUn_KI270509v1	2318	455243	196.39	11	301
chrUn_KI270509v1_region	2318	455243	196.39	11	301
chrUn_KI270518v1	2186	405163	185.34	1	335
chrUn_KI270518v1_region	2186	405163	185.34	1	335
chrUn_KI270508v1	1951	535553	274.50	1	346
chrUn_KI270508v1_region	1951	535553	274.50	1	346
chrUn_KI270516v1	1300	274142	210.88	11	446
chrUn_KI270516v1_region	1300	274142	210.88	11	446
chrUn_KI270512v1	22689	2127859	93.78	0	1073
chrUn_KI270512v1_region	22689	2127859	93.78	0	1073
chrUn_KI270519v1	138126	14703002	106.45	0	2123
chrUn_KI270519v1_region	138126	14703002	106.45	0	2123
chrUn_KI270522v1	5674	182526	32.17	0	73
chrUn_KI270522v1_region	5674	182526	32.17	0	73
chrUn_KI270511v1	8127	660008	81.21	0	216
chrUn_KI270511v1_region	8127	660008	81.21	0	216
chrUn_KI270515v1	6361	1349007	212.07	0	507
chrUn_KI270515v1_region	6361	1349007	212.07	0	507
chrUn_KI270507v1	5353	895293	167.25	6	326
chrUn_KI270507v1_region	5353	895293	167.25	6	326
chrUn_KI270517v1	3253	656600	201.84	4	322
chrUn_KI270517v1_region	3253	656600	201.84	4	322
chrUn_KI270529v1	1899	97374	51.28	2	118
chrUn_KI270529v1_region	1899	97374	51.28	2	118
chrUn_KI270528v1	2983	74170	24.86	0	49
chrUn_KI270528v1_region	2983	74170	24.86	0	49
chrUn_KI270530v1	2168	37267	17.19	0	43
chrUn_KI270530v1_region	2168	37267	17.19	0	43
chrUn_KI270539v1	993	15749	15.86	0	40
chrUn_KI270539v1_region	993	15749	15.86	0	40
chrUn_KI270538v1	91309	8905155	97.53	0	1399
chrUn_KI270538v1_region	91309	8905155	97.53	0	1399
chrUn_KI270544v1	1202	226800	188.69	0	544
chrUn_KI270544v1_region	1202	226800	188.69	0	544
chrUn_KI270548v1	1599	25548	15.98	0	34
chrUn_KI270548v1_region	1599	25548	15.98	0	34
chrUn_KI270583v1	1400	240479	171.77	0	229
chrUn_KI270583v1_region	1400	240479	171.77	0	229
chrUn_KI270587v1	2969	562156	189.34	0	281
chrUn_KI270587v1_region	2969	562156	189.34	0	281
chrUn_KI270580v1	1553	265082	170.69	0	259
chrUn_KI270580v1_region	1553	265082	170.69	0	259
chrUn_KI270581v1	7046	380499	54.00	0	178
chrUn_KI270581v1_region	7046	380499	54.00	0	178
chrUn_KI270579v1	31033	1345986	43.37	0	172
chrUn_KI270579v1_region	31033	1345986	43.37	0	172
chrUn_KI270589v1	44474	4194869	94.32	0	1584
chrUn_KI270589v1_region	44474	4194869	94.32	0	1584
chrUn_KI270590v1	4685	1166517	248.99	0	769
chrUn_KI270590v1_region	4685	1166517	248.99	0	769
chrUn_KI270584v1	4513	802757	177.88	33	300
chrUn_KI270584v1_region	4513	802757	177.88	33	300
chrUn_KI270582v1	6504	334568	51.44	0	148
chrUn_KI270582v1_region	6504	334568	51.44	0	148
chrUn_KI270588v1	6158	948673	154.06	0	331
chrUn_KI270588v1_region	6158	948673	154.06	0	331
chrUn_KI270593v1	3041	332519	109.35	3	173
chrUn_KI270593v1_region	3041	332519	109.35	3	173
chrUn_KI270591v1	5796	1592048	274.68	0	1145
chrUn_KI270591v1_region	5796	1592048	274.68	0	1145
chrUn_KI270330v1	1652	763948	462.44	0	1367
chrUn_KI270330v1_region	1652	763948	462.44	0	1367
chrUn_KI270329v1	1040	41125	39.54	0	73
chrUn_KI270329v1_region	1040	41125	39.54	0	73
chrUn_KI270334v1	1368	24718	18.07	0	41
chrUn_KI270334v1_region	1368	24718	18.07	0	41
chrUn_KI270333v1	2699	7135056	2643.59	8	11002
chrUn_KI270333v1_region	2699	7135056	2643.59	8	11002
chrUn_KI270335v1	1048	23824	22.73	0	44
chrUn_KI270335v1_region	1048	23824	22.73	0	44
chrUn_KI270338v1	1428	22832	15.99	0	37
chrUn_KI270338v1_region	1428	22832	15.99	0	37
chrUn_KI270340v1	1428	40377	28.28	0	51
chrUn_KI270340v1_region	1428	40377	28.28	0	51
chrUn_KI270336v1	1026	1291867	1259.13	40	3333
chrUn_KI270336v1_region	1026	1291867	1259.13	40	3333
chrUn_KI270337v1	1121	6710947	5986.57	8	22718
chrUn_KI270337v1_region	1121	6710947	5986.57	8	22718
chrUn_KI270363v1	1803	80133	44.44	0	89
chrUn_KI270363v1_region	1803	80133	44.44	0	89
chrUn_KI270364v1	2855	87750	30.74	0	84
chrUn_KI270364v1_region	2855	87750	30.74	0	84
chrUn_KI270362v1	3530	96751	27.41	0	65
chrUn_KI270362v1_region	3530	96751	27.41	0	65
chrUn_KI270366v1	8320	358719	43.12	0	118
chrUn_KI270366v1_region	8320	358719	43.12	0	118
chrUn_KI270379v1	1045	16138	15.44	0	24
chrUn_KI270379v1_region	1045	16138	15.44	0	24
chrUn_KI270389v1	1298	11312	8.71	0	23
chrUn_KI270389v1_region	1298	11312	8.71	0	23
chrUn_KI270390v1	2387	5935	2.49	0	12
chrUn_KI270390v1_region	2387	5935	2.49	0	12
chrUn_KI270387v1	1537	31430	20.45	0	47
chrUn_KI270387v1_region	1537	31430	20.45	0	47
chrUn_KI270395v1	1143	99296	86.87	0	204
chrUn_KI270395v1_region	1143	99296	86.87	0	204
chrUn_KI270396v1	1880	14176	7.54	0	42
chrUn_KI270396v1_region	1880	14176	7.54	0	42
chrUn_KI270388v1	1216	1242	1.02	0	5
chrUn_KI270388v1_region	1216	1242	1.02	0	5
chrUn_KI270394v1	970	5137	5.30	0	15
chrUn_KI270394v1_region	970	5137	5.30	0	15
chrUn_KI270386v1	1788	61850	34.59	0	65
chrUn_KI270386v1_region	1788	61850	34.59	0	65
chrUn_KI270391v1	1484	3522	2.37	0	9
chrUn_KI270391v1_region	1484	3522	2.37	0	9
chrUn_KI270383v1	1750	27329	15.62	0	36
chrUn_KI270383v1_region	1750	27329	15.62	0	36
chrUn_KI270393v1	1308	3766	2.88	0	9
chrUn_KI270393v1_region	1308	3766	2.88	0	9
chrUn_KI270384v1	1658	10155	6.12	0	42
chrUn_KI270384v1_region	1658	10155	6.12	0	42
chrUn_KI270392v1	971	41718	42.96	0	90
chrUn_KI270392v1_region	971	41718	42.96	0	90
chrUn_KI270381v1	1930	42819	22.19	0	46
chrUn_KI270381v1_region	1930	42819	22.19	0	46
chrUn_KI270385v1	990	4678	4.73	0	21
chrUn_KI270385v1_region	990	4678	4.73	0	21
chrUn_KI270382v1	4215	64956	15.41	0	55
chrUn_KI270382v1_region	4215	64956	15.41	0	55
chrUn_KI270376v1	1136	16061	14.14	0	28
chrUn_KI270376v1_region	1136	16061	14.14	0	28
chrUn_KI270374v1	2656	72545	27.31	0	92
chrUn_KI270374v1_region	2656	72545	27.31	0	92
chrUn_KI270372v1	1650	28134	17.05	0	34
chrUn_KI270372v1_region	1650	28134	17.05	0	34
chrUn_KI270373v1	1451	19106	13.17	0	25
chrUn_KI270373v1_region	1451	19106	13.17	0	25
chrUn_KI270375v1	2378	60551	25.46	0	67
chrUn_KI270375v1_region	2378	60551	25.46	0	67
chrUn_KI270371v1	2805	49732	17.73	0	37
chrUn_KI270371v1_region	2805	49732	17.73	0	37
chrUn_KI270448v1	7992	564015	70.57	4	126
chrUn_KI270448v1_region	7992	564015	70.57	4	126
chrUn_KI270521v1	7642	373299	48.85	0	129
chrUn_KI270521v1_region	7642	373299	48.85	0	129
chrUn_GL000195v1	182896	15903658	86.95	0	289
chrUn_GL000195v1_region	182896	15903658	86.95	0	289
chrUn_GL000219v1	179198	11663719	65.09	0	691
chrUn_GL000219v1_region	179198	11663719	65.09	0	691
chrUn_GL000220v1	161802	136311745	842.46	0	7164
chrUn_GL000220v1_region	161802	136311745	842.46	0	7164
chrUn_GL000224v1	179693	40026247	222.75	0	4044
chrUn_GL000224v1_region	179693	40026247	222.75	0	4044
chrUn_KI270741v1	157432	5191944	32.98	0	152
chrUn_KI270741v1_region	157432	5191944	32.98	0	152
chrUn_GL000226v1	15008	23702048	1579.29	3	5389
chrUn_GL000226v1_region	15008	23702048	1579.29	3	5389
chrUn_GL000213v1	164239	2979895	18.14	0	49
chrUn_GL000213v1_region	164239	2979895	18.14	0	49
chrUn_KI270743v1	210658	17489862	83.02	0	624
chrUn_KI270743v1_region	210658	17489862	83.02	0	624
chrUn_KI270744v1	168472	34102722	202.42	0	8526
chrUn_KI270744v1_region	168472	34102722	202.42	0	8526
chrUn_KI270745v1	41891	1451148	34.64	0	101
chrUn_KI270745v1_region	41891	1451148	34.64	0	101
chrUn_KI270746v1	66486	9292856	139.77	0	273
chrUn_KI270746v1_region	66486	9292856	139.77	0	273
chrUn_KI270747v1	198735	4968306	25.00	0	192
chrUn_KI270747v1_region	198735	4968306	25.00	0	192
chrUn_KI270748v1	93321	2093790	22.44	0	174
chrUn_KI270748v1_region	93321	2093790	22.44	0	174
chrUn_KI270749v1	158759	10601409	66.78	0	210
chrUn_KI270749v1_region	158759	10601409	66.78	0	210
chrUn_KI270750v1	148850	10636209	71.46	0	244
chrUn_KI270750v1_region	148850	10636209	71.46	0	244
chrUn_KI270751v1	150742	19481174	129.24	0	1368
chrUn_KI270751v1_region	150742	19481174	129.24	0	1368
chrUn_KI270753v1	62944	4457169	70.81	0	255
chrUn_KI270753v1_region	62944	4457169	70.81	0	255
chrUn_KI270754v1	40191	8195204	203.91	0	1027
chrUn_KI270754v1_region	40191	8195204	203.91	0	1027
chrUn_KI270755v1	36723	1145851	31.20	0	84
chrUn_KI270755v1_region	36723	1145851	31.20	0	84
chrUn_KI270756v1	79590	3737850	46.96	0	1053
chrUn_KI270756v1_region	79590	3737850	46.96	0	1053
chrUn_KI270757v1	71251	10949303	153.67	0	4380
chrUn_KI270757v1_region	71251	10949303	153.67	0	4380
chrUn_GL000214v1	137718	27525120	199.87	0	2207
chrUn_GL000214v1_region	137718	27525120	199.87	0	2207
chrUn_KI270742v1	186739	23840758	127.67	2	380
chrUn_KI270742v1_region	186739	23840758	127.67	2	380
chrUn_GL000216v2	176608	52394669	296.67	0	24074
chrUn_GL000216v2_region	176608	52394669	296.67	0	24074
chrUn_GL000218v1	161147	14604373	90.63	3	246
chrUn_GL000218v1_region	161147	14604373	90.63	3	246
chrEBV	171823	23746173	138.20	0	1270
chrEBV_region	171823	23746173	138.20	0	1270
total	3099891705	30518692867	9.85	0	601021
total_region	2889670578	28592334384	9.89	0	601021
